Datum;Mittelwert;Maximum;Minimum;Prüfstatus
01.11.24;242;242;242;Rohdaten
02.11.24;242;242;242;Rohdaten
03.11.24;242;242;242;Rohdaten
04.11.24;241;242;240;Rohdaten
05.11.24;240;241;240;Rohdaten
06.11.24;240;241;240;Rohdaten
07.11.24;240;241;240;Rohdaten
08.11.24;240;242;240;Rohdaten
09.11.24;240;240;240;Rohdaten
10.11.24;240;241;240;Rohdaten
11.11.24;240;242;238;Rohdaten
12.11.24;241;242;240;Rohdaten
13.11.24;240;240;240;Rohdaten
14.11.24;240;242;240;Rohdaten
15.11.24;240;241;240;Rohdaten
16.11.24;240;240;240;Rohdaten
17.11.24;240;240;240;Rohdaten
18.11.24;240;242;240;Rohdaten
19.11.24;240;240;240;Rohdaten